iter	Passed	Remaining
0	6	48878
1	13	47248
2	19	46036
3	25	44912
4	32	44915
5	38	44869
6	45	45099
7	51	44939
8	56	44220
9	63	44115
10	69	43897
11	75	43912
12	81	43654
13	85	42881
14	91	42811
15	98	42901
16	105	43163
17	110	43035
18	117	43122
19	123	43060
20	129	42992
21	135	42856
22	141	42864
23	147	42800
24	153	42790
25	159	42771
26	165	42802
27	171	42671
28	177	42780
29	184	42864
30	190	42920
31	198	43125
32	205	43479
33	212	43618
34	221	44005
35	227	44067
36	234	44196
37	241	44183
38	247	44138
39	254	44251
40	263	44707
41	284	47158
42	304	49189
43	321	50789
44	338	52293
45	352	53222
46	368	54481
47	383	55528
48	411	58351
49	424	58969
50	436	59416
51	446	59658
52	457	60000
53	469	60440
54	480	60695
55	487	60474
56	493	60162
57	500	59889
58	506	59610
59	513	59385
60	520	59189
61	528	59163
62	536	59048
63	542	58846
64	549	58596
65	555	58356
66	562	58207
67	569	58022
68	576	57865
69	582	57691
70	589	57505
71	595	57278
72	601	57063
73	608	56909
74	614	56735
75	620	56565
76	627	56393
77	633	56239
78	640	56099
79	647	55983
80	654	55877
81	660	55737
82	667	55621
83	673	55483
84	680	55360
85	686	55223
86	693	55099
87	700	54994
88	706	54881
89	713	54809
90	722	54823
91	731	54935
92	738	54827
93	744	54720
94	751	54594
95	757	54494
96	764	54372
97	770	54258
98	776	54146
99	783	54061
100	789	53952
101	796	53853
102	802	53761
103	809	53670
104	816	53584
105	822	53493
106	829	53404
107	835	53318
108	842	53233
109	848	53135
110	854	53040
111	861	52955
112	867	52877
113	874	52793
114	880	52705
115	886	52626
116	893	52558
117	900	52503
118	906	52429
119	913	52353
120	919	52281
121	926	52210
122	932	52140
123	938	52063
124	945	51980
125	951	51900
126	957	51819
127	964	51777
128	970	51677
129	976	51618
130	983	51570
131	989	51498
132	996	51444
133	1002	51376
134	1009	51326
135	1015	51267
136	1022	51213
137	1028	51152
138	1035	51102
139	1042	51059
140	1048	51023
141	1055	50981
142	1062	50945
143	1069	50907
144	1075	50856
145	1082	50799
146	1088	50737
147	1094	50683
148	1101	50640
149	1107	50579
150	1114	50539
151	1120	50494
152	1127	50450
153	1133	50406
154	1140	50368
155	1147	50330
156	1153	50286
157	1160	50241
158	1166	50202
159	1173	50171
160	1180	50136
